Local de residência (à data dos Censos 2021),Idade média (Ano) da população residente por Local de residência (à data dos Censos 2021); Decenal
Vilar e Viveiro,57.05
Chaves,50.60
Águas Frias,53.05
Anelhe,47.96
Bustelo,48.06
Cimo de Vila da Castanheira,57.88
Curalha,50.15
Ervededo,58.80
Faiões,53.36
Lama de Arcos,60.34
Mairos,56.66
Moreiras,53.10
Nogueira da Montanha,56.72
Oura,51.42
Outeiro Seco,48.55
Paradela,55.34
Planalto de Monforte (União das freguesias de Oucidres e Bobadela),63.47
Redondelo,50.22
Sanfins,61.03
Santa Leocádia,60.26
Santa Maria Maior,46.50
Santo António de Monforte,54.14
Santo Estêvão,51.23
São Pedro de Agostém,49.24
São Vicente,68.08
Tronco,59.40
União das freguesias da Madalena e Samaiões,52.45
"União das freguesias das Eiras, São Julião de Montenegro e Cela",54.08
União das freguesias de Calvão e Soutelinho da Raia,62.43
União das freguesias de Loivos e Póvoa de Agrações,55.31
União das freguesias de Santa Cruz/Trindade e Sanjurge,46.15
União das freguesias de Soutelo e Seara Velha,54.69
União das freguesias de Travancas e Roriz,63.10
Vale de Anta,49.23
"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",53.15
Vila Verde da Raia,52.07
Vilar de Nantes,50.40
Vilarelho da Raia,60.56
Vilas Boas,52.74
Vilela do Tâmega,51.46
Vilela Seca,58.69
Montalegre,54.89
Cabril,53.96
Cervos,57.39
Chã,53.29
Covelo do Gerês,49.33
Ferral,56.80
Gralhas,63.43
Morgade,57.09
Negrões,54.92
Outeiro,53.01
Pitões das Junias,55.09
Reigoso,63.62
Salto,52.94
Santo André,59.25
Sarraquinhos,58.59
Solveira,57.17
Tourém,60.75
"União das freguesias de Cambeses do Rio, Donões e Mourilhe",55.62
União das freguesias de Meixedo e Padornelos,58.38
União das freguesias de Montalegre e Padroso,50.28
"União das freguesias de Paradela, Contim e Fiães",56.54
União das freguesias de Sezelhe e Covelães,59.07
União das freguesias de Venda Nova e Pondras,56.41
União das freguesias de Viade de Baixo e Fervidelas,54.24
União das freguesias de Vilar de Perdizes e Meixide,61.40
Vila da Ponte,59.56
Ribeira de Pena,50.44
Alvadia,57.34
Canedo,59.69
Santa Marinha,50.45
União das freguesias de Cerva e Limões,49.28
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,50.05
Valpaços,54.61
Água Revés e Crasto,61.26
Algeriz,58.02
Bouçoães,62.71
Canaveses,61.79
Carrazedo de Montenegro e Curros,52.93
Ervões,56.24
Fornos do Pinhal,53.96
Friões,62.94
"Lebução, Fiães e Nozelos",58.98
Padrela e Tazem,55.33
Possacos,55.56
Rio Torto,59.35
Santa Maria de Emeres,60.08
Santa Valha,58.80
Santiago da Ribeira de Alhariz,62.08
São João da Corveira,56.82
São Pedro de Veiga de Lila,59.76
Serapicos,59.29
Sonim e Barreiros,62.15
Tinhela e Alvarelhos,60.02
Vales,64.48
Valpaços e Sanfins,47.62
Vassal,64.19
Veiga de Lila,56.91
Vilarandelo,54.02
Vila Pouca de Aguiar,52.18
Alfarela de Jales,54.35
Alvão,53.38
Bornes de Aguiar,51.59
Bragado,58.07
Capeludos,60.59
Sabroso de Aguiar,49.39
Soutelo de Aguiar,51.04
Telões,51.70
Tresminas,59.17
União das freguesias de Pensalvos e Parada de Monteiros,59.22
Valoura,53.19
Vila Pouca de Aguiar,49.20
Vreia de Bornes,52.90
Vreia de Jales,53.10
Tâmega e Sousa,43.74
Amarante,45.52
Ansiães,54.78
Candemil,52.32
Fregim,43.82
Fridão,47.18
Gondar,46.61
Gouveia (São Simão),47.73
Jazente,51.84
