Local de residência (à data dos Censos 2021),Proporção da população residente com ensino superior completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
São Torcato,11.07
Selho (São Cristóvão),9.71
Selho (São Jorge),14.19
Serzedelo,9.57
Silvares,14.90
União das freguesias de Abação e Gémeos,9.41
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",11.57
União das freguesias de Arosa e Castelões,10.61
União das freguesias de Atães e Rendufe,9.90
União das freguesias de Briteiros Santo Estêvão e Donim,10.37
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,8.53
União das freguesias de Candoso São Tiago e Mascotelos,21.58
União das freguesias de Conde e Gandarela,10.29
"União das freguesias de Leitões, Oleiros e Figueiredo",10.48
"União das freguesias de Oliveira, São Paio e São Sebastião",26.77
União das freguesias de Prazins Santo Tirso e Corvite,14.60
União das freguesias de Sande São Lourenço e Balazar,12.09
União das freguesias de Sande Vila Nova e Sande São Clemente,12.32
União das freguesias de Selho São Lourenço e Gominhães,10.11
União das freguesias de Serzedo e Calvos,6.36
"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",7.79
União das freguesias de Tabuadelo e São Faustino,7.56
Urgezes,21.76
Mondim de Basto,9.81
Atei,7.72
Bilhó,11.80
São Cristóvão de Mondim de Basto,13.14
União das freguesias de Campanhó e Paradança,5.98
União das freguesias de Ermelo e Pardelhas,1.72
Vilar de Ferreiros,6.78
Póvoa de Lanhoso,11.80
Covelas,15.12
Ferreiros,11.18
Galegos,11.89
Garfe,10.80
Geraz do Minho,9.01
Lanhoso,13.84
Monsul,8.74
Póvoa de Lanhoso (Nossa Senhora do Amparo),15.94
Rendufinho,8.98
Santo Emilião,8.53
São João de Rei,10.40
Serzedelo,7.90
Sobradelo da Goma,6.44
Taíde,11.71
Travassos,10.86
União das freguesias de Águas Santas e Moure,18.33
União das freguesias de Calvos e Frades,8.77
União das freguesias de Campos e Louredo,10.50
União das freguesias de Esperança e Brunhais,7.51
União das freguesias de Fonte Arcada e Oliveira,10.19
"União das freguesias de Verim, Friande e Ajude",7.33
Vilela,12.84
Vieira do Minho,10.85
Cantelães,9.19
Eira Vedra,17.14
Guilhofrei,9.44
Louredo,5.41
Mosteiro,10.88
Parada de Bouro,9.48
Pinheiro,9.35
Rossas,8.93
Salamonde,8.01
Tabuaças,14.14
União das freguesias de Anissó e Soutelo,8.36
União das freguesias de Anjos e Vilar do Chão,11.90
União das freguesias de Caniçada e Soengas,7.97
União das freguesias de Ruivães e Campos,11.86
União das freguesias de Ventosa e Cova,8.81
Vieira do Minho,13.10
Vila Nova de Famalicão,16.38
Bairro,13.03
Brufe,17.75
Castelões,11.21
Cruz,19.01
Delães,11.47
Fradelos,11.41
Gavião,20.32
Joane,15.22
Landim,12.73
Louro,17.86
Lousado,14.79
Mogege,13
Nine,16.20
Oliveira (Santa Maria),12.32
Oliveira (São Mateus),10.98
Pedome,11.23
Pousada de Saramagos,11.81
Requião,14.35
Riba de Ave,15.46
Ribeirão,12.49
União das freguesias de Antas e Abade de Vermoim,29.55
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,11.22
União das freguesias de Avidos e Lagoa,16.87
União das freguesias de Carreira e Bente,10.67
União das freguesias de Esmeriz e Cabeçudos,15.94
"União das freguesias de Gondifelos, Cavalões e Outiz",11.82
"União das freguesias de Lemenhe, Mouquim e Jesufrei",13.90
União das freguesias de Ruivães e Novais,12.23
União das freguesias de Seide,14.61
"União das freguesias de Vale (São Cosme), Telhado e Portela",12.14
União das freguesias de Vila Nova de Famalicão e Calendário,24.72
Vale (São Martinho),15.30
Vermoim,14.16
Vilarinho das Cambas,10.21
Vizela,11.63
Infias,12.41
Santa Eulália,7.22
União das freguesias de Caldas de Vizela (São Miguel e São João),15.17
União das freguesias de Tagilde e Vizela (São Paio),8.29
Vizela (Santo Adrião),8.68
Área Metropolitana do Porto,22.54
Arouca,12.26
Alvarenga,8.32
Chave,11.83
Escariz,10.50
Fermedo,6.77
Mansores,12.99
Moldes,10.82
Rossas,12.33
Santa Eulália,13.29
São Miguel do Mato,8.94
Tropeço,9.52
União das freguesias de Arouca e Burgo,17.78
União das freguesias de Cabreiros e Albergaria da Serra,5.03
União das freguesias de Canelas e Espiunca,5.06
União das freguesias de Covelo de Paivó e Janarde,6.71
Urrô,12.45
Várzea,13.70
Espinho,21.20
Espinho,32.31
Paramos,11.63
Silvalde,12.53
União das freguesias de Anta e Guetim,18.29
Gondomar,17.86
Baguim do Monte (Rio Tinto),19.46
Lomba,7.89
Rio Tinto,20.65
União das freguesias de Fânzeres e São Pedro da Cova,11.90
União das freguesias de Foz do Sousa e Covelo,14.53
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",20.45
União das freguesias de Melres e Medas,12.63
Maia,27.54
Águas Santas,22.94
Castêlo da Maia,24.69
Cidade da Maia,33.66
Folgosa,19.63
Milheirós,25.99
Moreira,28.02
Nogueira e Silva Escura,24.27
Pedrouços,27.61
São Pedro Fins,19.29
Vila Nova da Telha,27.01
Matosinhos,26.34
"União das freguesias de Custóias, Leça do Balio e Guifões",20.28
União das freguesias de Matosinhos e Leça da Palmeira,33.06
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",17.75
União das freguesias de São Mamede de Infesta e Senhora da Hora,30.15
Oliveira de Azeméis,13.80
Carregosa,13.93
Cesar,14.22
Fajões,11.20
Loureiro,12.61
Macieira de Sarnes,12.46
Ossela,9.39
São Martinho da Gândara,9.16
São Roque,12.67
União das freguesias de Nogueira do Cravo e Pindelo,13.25
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",17.67
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",10.92
Vila de Cucujães,11.63
Paredes,13.19
Aguiar de Sousa,11.08
Astromil,19.58
Baltar,13.64
Beire,9.37
Cete,12.28
Cristelo,9.87
Duas Igrejas,7.78
Gandra,13.74
Lordelo,9.50
Louredo,7.33
Parada de Todeia,12.93
Paredes,19.76
Rebordosa,12
Recarei,13.03
Sobreira,10.57
Sobrosa,9.21
Vandoma,9.27
Vilela,8.03
Porto,37.53
Bonfim,37.62
Campanhã,17.54
Paranhos,36.81
Ramalde,39.44
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",49.05
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",39.89
União das freguesias de Lordelo do Ouro e Massarelos,42.45
Póvoa de Varzim,19.12
Balazar,12.26
Estela,8.49
Laundos,11.41
Rates,10.01
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",22.35
União das freguesias de Aguçadoura e Navais,10.18
"União das freguesias de Aver-o-Mar, Amorim e Terroso",19.88
Santa Maria da Feira,16.82
Argoncilhe,15.51
Arrifana,14.62
Escapães,17.43
Fiães,13.37
Fornos,16.73
Lourosa,12.77
Milheirós de Poiares,13.33
Mozelos,17.53
Nogueira da Regedoura,16.51
Paços de Brandão,20.17
Rio Meão,14.37
Romariz,9.65
Sanguedo,15.06
Santa Maria de Lamas,15.68
São João de Ver,17.18
São Paio de Oleiros,13.47
União das freguesias de Caldas de São Jorge e Pigeiros,14.20
"União das freguesias de Canedo, Vale e Vila Maior",11.56
"União das freguesias de Lobão, Gião, Louredo e Guisande",12.87
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",29.68
União de freguesias de São Miguel de Souto e Mosteirô,12.92
Santo Tirso,15.25
Agrela,16.99
Água Longa,20.20
Aves,16.06
Monte Córdova,12.16
Negrelos (São Tomé),10.06
Rebordões,12.43
Reguenga,13.38
Roriz,9.31
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",13.95
Vila Nova do Campo,10.67
União das freguesias de Carreira e Refojos de Riba de Ave,13.79
União das freguesias de Lamelas e Guimarei,17.31
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",20.24
Vilarinho,8.81
São João da Madeira,20.40
São João da Madeira,20.40
Trofa,15.29
Covelas,10.45
Muro,18.58
União das freguesias de Alvarelhos e Guidões,12.43
União das freguesias de Bougado (São Martinho e Santiago),16.39
União das freguesias de Coronado (São Romão e São Mamede),14.31
Vale de Cambra,15.49
Arões,7.34
Cepelos,11.82
Junqueira,9.46
Macieira de Cambra,17.80
Roge,11.46
São Pedro de Castelões,15
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",19.18
Valongo,18.90
Alfena,16.97
Ermesinde,20.35
União das freguesias de Campo e Sobrado,11.58
Valongo,22.15
Vila do Conde,18.92
Árvore,22.16
Aveleda,14.38
Azurara,23.10
Fajozes,12.59
Gião,15.18
Guilhabreu,13.44
Junqueira,12.59
Labruge,24.42
Macieira da Maia,12.94
Mindelo,27.69
Modivas,15.36
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",11.11
União das freguesias de Fornelo e Vairão,13.60
União das freguesias de Malta e Canidelo,10.36
União das freguesias de Retorta e Tougues,15.79
União das freguesias de Rio Mau e Arcos,11.14
União das freguesias de Touguinha e Touguinhó,16.84
União das freguesias de Vilar e Mosteiró,14.34
Vila Chã,21.68
Vila do Conde,21.58
Vilar de Pinheiro,18.92
Vila Nova de Gaia,22.95
Arcozelo,30.92
Avintes,13.88
Canelas,18.99
Canidelo,24.87
Madalena,26.31
Oliveira do Douro,17.86
São Félix da Marinha,28.22
União das freguesias de Grijó e Sermonde,16.26
União das freguesias de Gulpilhares e Valadares,26.94
União das freguesias de Mafamude e Vilar do Paraíso,28.64
União das freguesias de Pedroso e Seixezelo,18.22
"União das freguesias de Sandim, Olival, Lever e Crestuma",13.38
União das freguesias de Santa Marinha e São Pedro da Afurada,27.67
União das freguesias de Serzedo e Perosinho,16.82
Vilar de Andorinho,13.88
Alto Tâmega,12.38
Boticas,9.05
Alturas do Barroso e Cerdedo,7.08
Ardãos e Bobadela,2.24
Beça,9.43
Boticas e Granja,14.46
"Codessoso, Curros e Fiães do Tâmega",5.38
Covas do Barroso,4.09
Dornelas,5.88
Pinho,6.99
Sapiãos,11.83
Vilar e Viveiro,4.30
Chaves,16.42
Águas Frias,6.93
Anelhe,2.75
Bustelo,10.57
Cimo de Vila da Castanheira,3.58
Curalha,6.80
Ervededo,5.59
Faiões,11.88
Lama de Arcos,6.02
Mairos,7.60
Moreiras,5.59
Nogueira da Montanha,3.41
Oura,7.57
Outeiro Seco,18.49
Paradela,6.60
Planalto de Monforte (União das freguesias de Oucidres e Bobadela),0.84
Redondelo,6.87
Sanfins,2.14
Santa Leocádia,2.55
Santa Maria Maior,26.26
Santo António de Monforte,10.42
Santo Estêvão,9.41
São Pedro de Agostém,10.26
São Vicente,0.56
Tronco,5.38
União das freguesias da Madalena e Samaiões,16.26
"União das freguesias das Eiras, São Julião de Montenegro e Cela",9.65
União das freguesias de Calvão e Soutelinho da Raia,5.69
União das freguesias de Loivos e Póvoa de Agrações,6.90
União das freguesias de Santa Cruz/Trindade e Sanjurge,21.33
União das freguesias de Soutelo e Seara Velha,12.44
União das freguesias de Travancas e Roriz,1.86
Vale de Anta,24.53
"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",10.46
Vila Verde da Raia,11.39
Vilar de Nantes,18.57
Vilarelho da Raia,8.24
Vilas Boas,5
Vilela do Tâmega,12.87
Vilela Seca,4.69
Montalegre,8.87
Cabril,4.87
Cervos,5.45
Chã,7.60
Covelo do Gerês,4.23
Ferral,3.77
Gralhas,5.20
Morgade,8
Negrões,4.31
Outeiro,5.65
Pitões das Junias,14.07
Reigoso,5.65
Salto,9.36
Santo André,4.96
Sarraquinhos,4.74
Solveira,4.51
Tourém,8.57
"União das freguesias de Cambeses do Rio, Donões e Mourilhe",4.62
União das freguesias de Meixedo e Padornelos,8.61
União das freguesias de Montalegre e Padroso,17
"União das freguesias de Paradela, Contim e Fiães",7.59
União das freguesias de Sezelhe e Covelães,5.61
União das freguesias de Venda Nova e Pondras,10.97
União das freguesias de Viade de Baixo e Fervidelas,6.96
União das freguesias de Vilar de Perdizes e Meixide,6.09
Vila da Ponte,8.92
Ribeira de Pena,8.50
Alvadia,5.37
Canedo,0.40
Santa Marinha,5.51
União das freguesias de Cerva e Limões,8.28
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,10.47
Valpaços,8.51
Água Revés e Crasto,5.77
Algeriz,6.80
Bouçoães,3.50
Canaveses,4.29
Carrazedo de Montenegro e Curros,6.21
Ervões,6.16
Fornos do Pinhal,4.20
Friões,3.82
"Lebução, Fiães e Nozelos",4.27
Padrela e Tazem,3.64
Possacos,6.77
Rio Torto,8.08
Santa Maria de Emeres,4.95
Santa Valha,4.86
Santiago da Ribeira de Alhariz,2.59
São João da Corveira,5.83
São Pedro de Veiga de Lila,3.13
Serapicos,3.31
Sonim e Barreiros,6.46
Tinhela e Alvarelhos,4.60
Vales,3.26
Valpaços e Sanfins,15.81
Vassal,6.37
Veiga de Lila,8.61
Vilarandelo,7.29
Vila Pouca de Aguiar,10.75
Alfarela de Jales,7.89
Alvão,6.05
Bornes de Aguiar,10.67
Bragado,3.94
Capeludos,4.12
Sabroso de Aguiar,6.65
Soutelo de Aguiar,11.49
Telões,11.81
Tresminas,2.86
União das freguesias de Pensalvos e Parada de Monteiros,3.42
Valoura,8.66
