Local de residência (à data dos Censos 2021),Proporção da população residente com ensino superior completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
"União das freguesias de Alhandra, São João dos Montes e Calhandriz",18.89
União das freguesias de Alverca do Ribatejo e Sobralinho,23.37
União das freguesias de Castanheira do Ribatejo e Cachoeiras,15.70
União das freguesias de Póvoa de Santa Iria e Forte da Casa,23.17
Vialonga,16.09
Vila Franca de Xira,23.14
Alentejo,15.63
Alentejo Litoral,13.14
Alcácer do Sal,10.72
Comporta,7.96
São Martinho,2.56
Torrão,8.39
União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,12.11
Grândola,11.63
Azinheira dos Barros e São Mamede do Sádão,4.42
Carvalhal,7.90
Melides,12.48
União das freguesias de Grândola e Santa Margarida da Serra,12.50
Odemira,11.21
Boavista dos Pinheiros,11.61
Colos,9.74
Longueira/Almograve,7.57
Luzianes-Gare,9.82
Relíquias,13.59
Sabóia,8.54
Santa Clara-a-Velha,8.45
São Luís,10.63
São Martinho das Amoreiras,16.83
São Salvador e Santa Maria,14.16
São Teotónio,8.92
Vale de Santiago,5.98
Vila Nova de Milfontes,15.23
Santiago do Cacém,15.63
Abela,7.75
Alvalade,6.89
Cercal,8.92
Ermidas-Sado,9.48
Santo André,19.45
São Francisco da Serra,10.94
"União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra",19.57
União das freguesias de São Domingos e Vale de Água,7.95
Sines,15.86
Porto Covo,18.07
Sines,15.67
Baixo Alentejo,14.83
Aljustrel,12.03
Ervidel,8.86
Messejana,7.20
São João de Negrilhos,9.98
União das freguesias de Aljustrel e Rio de Moinhos,13.76
Almodôvar,9.53
Aldeia dos Fernandes,6.96
Rosário,6.88
Santa Cruz,4.56
São Barnabé,3.68
União das freguesias de Almodôvar e Graça dos Padrões,12.58
União das freguesias de Santa Clara-a-Nova e Gomes Aires,4.91
Alvito,12.33
Alvito,14.54
Vila Nova da Baronia,9.99
Barrancos,8.71
Barrancos,8.71
Beja,22.93
Baleizão,6.17
Beringel,16.99
Cabeça Gorda,9.59
Nossa Senhora das Neves,12.06
Santa Clara de Louredo,9.11
São Matias,12.15
União das freguesias de Albernoa e Trindade,7.06
União das freguesias de Beja (Salvador e Santa Maria da Feira),25.34
União das freguesias de Beja (Santiago Maior e São João Baptista),30.09
União das freguesias de Salvada e Quintos,8.42
União das freguesias de Santa Vitória e Mombeja,7.19
União das freguesias de Trigaches e São Brissos,13.02
Castro Verde,15.83
Entradas,8.73
Santa Bárbara de Padrões,4.50
São Marcos da Ataboeira,8.62
União das freguesias de Castro Verde e Casével,18.79
Cuba,14.38
Cuba,17.71
Faro do Alentejo,6.31
Vila Alva,7.14
Vila Ruiva,7.27
Ferreira do Alentejo,10.83
Figueira dos Cavaleiros,5.59
Odivelas,6.60
União das freguesias de Alfundão e Peroguarda,8.63
União das freguesias de Ferreira do Alentejo e Canhestros,13.24
Mértola,9.39
Alcaria Ruiva,7.53
Corte do Pinto,4.99
Espírito Santo,6.69
Mértola,14.31
Santana de Cambas,7.18
São João dos Caldeireiros,7.81
"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",4.39
Moura,11.02
Amareleja,7.68
Póvoa de São Miguel,4.16
Sobral da Adiça,6.73
União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,14.26
União das freguesias de Safara e Santo Aleixo da Restauração,5.26
Ourique,9.71
Ourique,12.85
Santana da Serra,4.65
União das freguesias de Garvão e Santa Luzia,7.51
União das freguesias de Panoias e Conceição,3.84
Serpa,11.92
Brinches,4.68
Pias,7.71
União das freguesias de Serpa (Salvador e Santa Maria),17.78
União das freguesias de Vila Nova de São Bento e Vale de Vargo,8.36
Vila Verde de Ficalho,10.28
Vidigueira,12.99
Pedrógão,5.61
Selmes,8.07
Vidigueira,17.07
Vila de Frades,13.66
Lezíria do Tejo,16.20
Almeirim,15.70
Almeirim,19.71
Benfica do Ribatejo,10.03
Fazendas de Almeirim,11.22
Raposa,8.53
Alpiarça,14.45
Alpiarça,14.45
Azambuja,13.45
Alcoentre,6.80
Aveiras de Baixo,11.80
Aveiras de Cima,10.95
Azambuja,18.07
"União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa",13.36
Vale do Paraíso,12.64
Vila Nova da Rainha,14.09
Benavente,16.17
Barrosa,9.36
Benavente,16.31
Samora Correia,15.21
Santo Estêvão,26.20
Cartaxo,16.62
Pontével,12.23
União das freguesias de Ereira e Lapa,15.27
União das freguesias do Cartaxo e Vale da Pinta,20.26
Valada,8.95
Vale da Pedra,10.71
Vila Chã de Ourique,13.82
Chamusca,9.87
Carregueira,8.94
Ulme,6.83
União das freguesias da Chamusca e Pinheiro Grande,14
União das freguesias de Parreira e Chouto,4.14
Vale de Cavalos,6.17
Coruche,11.58
Biscainho,9.70
Branca,10.02
Couço,6.67
Santana do Mato,6.99
São José da Lamarosa,7.87
"União das freguesias de Coruche, Fajarda e Erra",14.05
Golegã,14.72
Azinhaga,10.82
Golegã,17.08
Pombalinho,8.06
Rio Maior,14.09
Alcobertas,9.84
Arrouquelas,14.05
Asseiceira,16.07
Fráguas,6.93
Rio Maior,15.87
São Sebastião,7.67
União das freguesias de Azambujeira e Malaqueijo,11.82
União das freguesias de Marmeleira e Assentiz,13.84
União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões,9.17
União das freguesias de São João da Ribeira e Ribeira de São João,13.35
Salvaterra de Magos,12.17
Marinhais,12.48
Muge,7.61
União das freguesias de Glória do Ribatejo e Granho,10.36
União das freguesias de Salvaterra de Magos e Foros de Salvaterra,13.19
Santarém,22.23
Abitureiras,15.89
Abrã,9.23
Alcanede,8.61
Alcanhões,14.97
Almoster,12.72
Amiais de Baixo,18.02
Arneiro das Milhariças,10.31
Gançaria,9.36
Moçarria,16.25
Pernes,8.85
Póvoa da Isenta,19.01
"União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém",16.62
União das freguesias de Azoia de Cima e Tremês,12.20
União das freguesias de Casével e Vaqueiros,12.36
União das freguesias de Romeira e Várzea,19.48
União de freguesias da cidade de Santarém,30.79
União das freguesias de São Vicente do Paul e Vale de Figueira,11.57
Vale de Santarém,16.23
Alto Alentejo,14.83
Alter do Chão,11.01
Alter do Chão,14.10
Chancelaria,5.76
Cunheira,1.22
Seda,7.82
Arronches,11.72
Assunção,14.18
Esperança,8.15
Mosteiros,5.40
Avis,10.36
Aldeia Velha,8.67
Avis,12.84
Ervedal,11.02
Figueira e Barros,7.14
União das freguesias de Alcórrego e Maranhão,6.45
União das freguesias de Benavila e Valongo,8.57
Campo Maior,13.69
Nossa Senhora da Expectação,16.63
Nossa Senhora da Graça dos Degolados,4.34
São João Baptista,12.49
Castelo de Vide,16.10
Nossa Senhora da Graça de Póvoa e Meadas,12.32
Santa Maria da Devesa,18.17
Santiago Maior,13.81
São João Baptista,16.06
Crato,10.49
Aldeia da Mata,7.07
Gáfete,5.07
Monte da Pedra,7.07
"União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso",13.48
Elvas,15.35
"Assunção, Ajuda, Salvador e Santo Ildefonso",21.63
"Caia, São Pedro e Alcáçova",9.47
Santa Eulália,5.74
São Brás e São Lourenço,18.22
São Vicente e Ventosa,10.34
União das freguesias de Barbacena e Vila Fernando,9.58
União das freguesias de Terrugem e Vila Boim,10.39
Fronteira,12.14
Cabeço de Vide,8.76
Fronteira,14.28
São Saturnino,9.85
Gavião,7.69
Belver,8.90
Comenda,6.36
Margem,4.20
União das freguesias de Gavião e Atalaia,9.38
Marvão,13.23
Beirã,11.76
Santa Maria de Marvão,16.62
Santo António das Areias,11.64
São Salvador da Aramenha,13.81
Monforte,10.80
Assumar,7.91
Monforte,14.62
Santo Aleixo,5.66
Vaiamonte,10.45
Nisa,11.90
Alpalhão,12.40
Montalvão,4.01
Santana,2.57
São Matias,9.14
Tolosa,6.93
União das freguesias de Arez e Amieira do Tejo,7.34
"União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão",15.79
Ponte de Sor,12.32
Foros de Arrão,6.09
Galveias,8.65
Longomel,6.30
Montargil,8.52
"União das freguesias de Ponte de Sor, Tramaga e Vale de Açor",14.55
Portalegre,22.52
Alagoa,8.82
Alegrete,8.12
Fortios,23.64
União das freguesias da Sé e São Lourenço,26.53
União das freguesias de Reguengo e São Julião,12.26
União das freguesias de Ribeira de Nisa e Carreiras,22.51
Urra,11.03
Sousel,11.32
Cano,9.38
Casa Branca,10.58
Santo Amaro,9.29
Sousel,13.62
Alentejo Central,17.50
Alandroal,7.89
Capelins (Santo António),5.68
Santiago Maior,6.26
Terena (São Pedro),8.33
"União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)",9.71
Arraiolos,13.47
Arraiolos,17.06
Igrejinha,15.85
União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro,6.65
União das freguesias de São Gregório e Santa Justa,10.39
Vimieiro,8.77
Borba,10.78
Borba (Matriz),12.88
Borba (São Bartolomeu),9.32
Orada,7.25
Rio de Moinhos,8.61
Estremoz,14.93
Arcos,10.29
Évora Monte (Santa Maria),9.50
Glória,10.86
São Domingos de Ana Loura,9.40
União das freguesias de Estremoz (Santa Maria e Santo André),17.52
União das freguesias de São Bento do Cortiço e Santo Estêvão,11.39
União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura,15.25
União das freguesias do Ameixial (Santa Vitória e São Bento),12.35
Veiros,9.25
Évora,26.35
Canaviais,26.54
Nossa Senhora da Graça do Divor,18.75
Nossa Senhora de Machede,11.88
São Bento do Mato,12.57
São Miguel de Machede,14.36
Torre de Coelheiros,7.33
União das freguesias de Bacelo e Senhora da Saúde,28.04
"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",34.52
União das freguesias de Malagueira e Horta das Figueiras,27.95
União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,13.28
União das freguesias de São Manços e São Vicente do Pigeiro,8.84
União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé,9.16
Montemor-o-Novo,15.14
Cabrela,10.60
Ciborro,9.55
Foros de Vale de Figueira,10.50
Santiago do Escoural,7.61
São Cristóvão,11.57
União das freguesias de Cortiçadas de Lavre e Lavre,11.76
"União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",17.57
Mora,10.43
Brotas,4.68
Cabeção,8.26
Mora,12.54
Pavia,9.58
Mourão,8.79
Granja,7.67
Luz,9.30
Mourão,9.08
Portel,9.50
Monte do Trigo,9.06
Portel,12.30
Santana,5.99
União das freguesias de Amieira e Alqueva,7.11
União das freguesias de São Bartolomeu do Outeiro e Oriola,7.15
Vera Cruz,6.21
Redondo,11.12
Montoito,9.98
Redondo,11.35
Reguengos de Monsaraz,13.47
Corval,11.22
Monsaraz,8.01
Reguengos de Monsaraz,15.99
União das freguesias de Campo e Campinho,5.18
Vendas Novas,13.91
Landeira,8.43
Vendas Novas,14.23
Viana do Alentejo,12.56
Aguiar,13.32
Alcáçovas,12.81
Viana do Alentejo,12.10
Vila Viçosa,13.38
Bencatel,7.69
Ciladas,4.29
Nossa Senhora da Conceição e São Bartolomeu,17.44
Pardais,7.95
Algarve,18.46
Algarve,18.46
Albufeira,16.68
Albufeira e Olhos de Água,17.18
Ferreiras,16.79
Guia,16.76
Paderne,12.47
Alcoutim,8.90
Giões,5.84
Martim Longo,8.22
União das freguesias de Alcoutim e Pereiro,11.69
Vaqueiros,2.92
Aljezur,16.79
Aljezur,20.13
Bordeira,13.38
Odeceixe,12.97
Rogil,11.49
Castro Marim,13.21
Altura,17.89
Azinhal,6.21
Castro Marim,12.93
Odeleite,4.73
Faro,27.08
Montenegro,35.81
Santa Bárbara de Nexe,18.57
União das freguesias de Conceição e Estoi,15.74
União das freguesias de Faro (Sé e São Pedro),28.42
Lagoa,15.92
Ferragudo,16.44
Porches,15.29
União das freguesias de Estômbar e Parchal,14.88
União das freguesias de Lagoa e Carvoeiro,16.90
Lagos,18.76
Luz,19.78
Odiáxere,12.20
União das freguesias de Bensafrim e Barão de São João,14.09
São Gonçalo de Lagos,19.89
Loulé,17.32
Almancil,14.05
Alte,7.26
Ameixial,6.53
Boliqueime,15.18
Loulé (São Clemente),21.81
Loulé (São Sebastião),17.29
Quarteira,18.52
Salir,9.87
"União de freguesias de Querença, Tôr e Benafim",10.67
Monchique,12.58
Alferce,15.91
Marmelete,10.02
Monchique,12.68
Olhão,16.30
Olhão,14.61
Pechão,20.70
Quelfes,17.80
União das freguesias de Moncarapacho e Fuseta,14.51
Portimão,20.69
Alvor,22.01
Mexilhoeira Grande,15.25
Portimão,21
São Brás de Alportel,19.47
São Brás de Alportel,19.47
Silves,14.10
Armação de Pêra,17.26
São Bartolomeu de Messines,10.97
São Marcos da Serra,4.64
Silves,15.48
União das freguesias de Alcantarilha e Pêra,16.41
União das freguesias de Algoz e Tunes,12.93
Tavira,17.20
Cachopo,4.04
Santa Catarina da Fonte do Bispo,12.22
Santa Luzia,14.71
União das freguesias de Conceição e Cabanas de Tavira,16.11
União das freguesias de Luz de Tavira e Santo Estêvão,13.27
União das freguesias de Tavira (Santa Maria e Santiago),20.13
Vila do Bispo,14.84
Barão de São Miguel,22.62
Budens,16.76
Sagres,11.49
Vila do Bispo e Raposeira,13.86
Vila Real de Santo António,13.75
Monte Gordo,9.28
Vila Nova de Cacela,14.81
Vila Real de Santo António,14.63
Região Autónoma dos Açores,15.93
Região Autónoma dos Açores,15.93
Região Autónoma dos Açores,15.93
Angra do Heroísmo,18.34
Altares,9.59
Angra (Nossa Senhora da Conceição),20.85
Angra (Santa Luzia),20.49
Angra (São Pedro),33.06
Angra (Sé),34.77
Cinco Ribeiras,11.85
Doze Ribeiras,7.69
Feteira,23.64
Porto Judeu,9.12
Posto Santo,17.77
Raminho,11.17
Ribeirinha,14.68
Santa Bárbara,8.02
São Bartolomeu de Regatos,17.42
São Bento,20.46
São Mateus da Calheta,18.13
Serreta,7.20
Terra Chã,15.45
Vila de São Sebastião,11.58
Calheta,10.43
Calheta,14.67
Norte Pequeno,10.18
Ribeira Seca,8.06
Santo Antão,7.03
Topo (Nossa Senhora do Rosário),7.98
Corvo,12.05
Corvo,12.05
Horta,17.21
Capelo,20.19
Castelo Branco,9.23
Cedros,7.26
Feteira,15.61
Flamengos,11.02
Horta (Angústias),22.02
Horta (Conceição),20.38
Horta (Matriz),26.33
Pedro Miguel,13.56
Praia do Almoxarife,20.74
Praia do Norte,13.53
Ribeirinha,8.57
Salão,5.39
Lagoa,13.57
Água de Pau,6.98
Cabouco,12.44
Lagoa (Nossa Senhora do Rosário),19.40
Lagoa (Santa Cruz),10.87
Ribeira Chã,10.28
Lajes das Flores,11.84
Fajã Grande,12.22
Fajãzinha,9.68
Fazenda,14.15
Lajedo,6.15
Lajes das Flores,10.47
Lomba,16.15
Mosteiro,5.56
Lajes do Pico,12.63
Calheta de Nesquim,7.66
Lajes do Pico,15.99
Piedade,10.50
Ribeiras,11.33
Ribeirinha,10.55
São João,11.24
Madalena,13.81
Bandeiras,9.06
Candelária,14.42
Criação Velha,13.95
Madalena,15.25
São Caetano,11.82
São Mateus,12.84
Nordeste,8.80
Achada,8.44
Achadinha,7.82
Algarvia,4.88
Lomba da Fazenda,7.80
Nordeste,11.26
Salga,4.64
Santana,11.64
Santo António de Nordestinho,9.62
São Pedro de Nordestinho,9.18
Ponta Delgada,21
Ajuda da Bretanha,5.94
Arrifes,11
Candelária,9.55
Capelas,14.70
Covoada,7.57
Fajã de Baixo,30.20
Fajã de Cima,13.36
Fenais da Luz,17.04
Feteiras,6.15
Ginetes,7.01
Mosteiros,4.95
Pilar da Bretanha,6.20
Ponta Delgada (São José),31.64
Ponta Delgada (São Pedro),33.89
Ponta Delgada (São Sebastião),36.71
Relva,20.02
Remédios,7.07
Rosto do Cão (Livramento),24.10
Rosto do Cão (São Roque),19.51
Santa Bárbara,4.20
Santa Clara,23.66
Santo António,6.77
São Vicente Ferreira,22.40
Sete Cidades,3.61
Povoação,9.55
Água Retorta,6.31
Faial da Terra,3.20
Furnas,11.48
Nossa Senhora dos Remédios,12.06
Povoação,10.36
Ribeira Quente,4.52
Ribeira Grande,11.80
Calhetas,14.90
Fenais da Ajuda,4.59
Lomba da Maia,8.64
Lomba de São Pedro,5.33
Maia,8.62
Pico da Pedra,21.12
Porto Formoso,6.30
Rabo de Peixe,7.66
Ribeira Grande (Conceição),22.41
Ribeira Grande (Matriz),13.70
Ribeira Seca,13.36
Ribeirinha,6.99
Santa Bárbara,10.17
São Brás,9.49
Santa Cruz da Graciosa,12.01
Guadalupe,10.62
Luz,6.84
Santa Cruz da Graciosa,16.48
São Mateus,8.07
Santa Cruz das Flores,12.73
Caveira,3.57
Cedros,8.70
Ponta Delgada,6.17
Santa Cruz das Flores,14.61
São Roque do Pico,14
Prainha,9.57
Santa Luzia,11.18
Santo Amaro,15.63
Santo António,13.89
São Roque do Pico,16.49
Velas,12.51
Manadas (Santa Bárbara),11.72
Norte Grande (Neves),8.06
Rosais,6.92
Santo Amaro,12.01
Urzelina (São Mateus),17.51
Velas (São Jorge),13.75
Vila da Praia da Vitória,13.18
Agualva,8.32
Biscoitos,14.69
Cabo da Praia,14.90
Fonte do Bastardo,13.62
Fontinhas,13.20
Lajes,10.59
Porto Martins,27.62
Praia da Vitória (Santa Cruz),13.42
Quatro Ribeiras,9.96
São Brás,12.19
Vila Nova,9.90
Vila do Porto,13.61
Almagreira,12.71
Santa Bárbara,10.30
Santo Espírito,9.26
São Pedro,9.15
Vila do Porto,16.23
Vila Franca do Campo,10.84
Água de Alto,8.67
Ponta Garça,5.19
Ribeira das Tainhas,13.32
Ribeira Seca,12.61
Vila Franca do Campo (São Miguel),13.19
Vila Franca do Campo (São Pedro),19.66
Região Autónoma da Madeira,17.81
Região Autónoma da Madeira,17.81
Região Autónoma da Madeira,17.81
Calheta,12.56
Arco da Calheta,13.68
Calheta,14.95
Estreito da Calheta,13.01
Fajã da Ovelha,8.97
Jardim do Mar,19.37
Paul do Mar,6.58
Ponta do Pargo,7.42
Prazeres,9.81
Câmara de Lobos,10.03
Câmara de Lobos,11.90
Curral das Freiras,4
Estreito de Câmara de Lobos,9.09
Jardim da Serra,6.90
Quinta Grande,8.84
Funchal,22.88
Funchal (Santa Luzia),29.32
Funchal (Santa Maria Maior),22.98
Funchal (São Pedro),27.64
Funchal (Sé),34.23
Imaculado Coração de Maria,22.79
Monte,14.88
Santo António,17.75
São Gonçalo,17.38
São Martinho,28.75
São Roque,17.03
Machico,12.51
Água de Pena,15.34
Caniçal,7.38
Machico,13.72
Porto da Cruz,13.43
Santo António da Serra,10.37
Ponta do Sol,12.36
Canhas,10.12
Madalena do Mar,15.26
Ponta do Sol,13.85
Porto Moniz,11.33
Achadas da Cruz,8.85
Porto Moniz,10.48
Ribeira da Janela,9.04
Seixal,14.84
Porto Santo,13.48
Porto Santo,13.48
Ribeira Brava,13.34
Campanário,12.78
Ribeira Brava,14.81
Serra de Água,7.22
Tabua,12.75
Santa Cruz,19.61
Camacha,9.87
Caniço,23.92
Gaula,19.64
Santa Cruz,15.13
Santo António da Serra,13.40
Santana,11.17
Arco de São Jorge,9.35
Faial,10.10
Ilha,9.77
Santana,12.97
São Jorge,10.05
São Roque do Faial,9.28
São Vicente,11.76
Boa Ventura,5.11
Ponta Delgada,13.82
São Vicente,13.61
