Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
Gondoriz,36.47
Moimenta,42.38
Ribeira,36.51
Rio Caldo,40.32
Souto,41.23
União das freguesias de Chamoim e Vilar,40.62
União das freguesias de Chorense e Monte,40.22
União das freguesias de Cibões e Brufe,31.52
Valdosende,38.62
Vilar da Veiga,40.72
Vila Verde,48.76
Aboim da Nóbrega e Gondomar,37.48
Atiães,39.59
Cabanelas,48.99
Cervães,50.15
Coucieiro,47.20
Dossãos,48.11
Freiriz,47.42
Gême,50.77
Lage,55.53
Lanhas,47.11
Loureira,49.42
Moure,50.21
Oleiros,51.06
Parada de Gatim,47.58
Pico,43.11
Ponte,47.57
Prado (São Miguel),45.41
Sabariz,52.93
Soutelo,54.95
Turiz,54.91
União das freguesias da Ribeira do Neiva,42.50
União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),43.03
União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),40.06
"União das freguesias de Esqueiros, Nevogilde e Travassós",49.08
União das freguesias de Marrancos e Arcozelo,47.20
União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),41.59
"União das freguesias de Pico de Regalados, Gondiães e Mós",48.63
"União das freguesias de Sande, Vilarinho, Barros e Gomide",44.22
"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",38.86
União das freguesias do Vade,40.30
Valdreu,27.56
Vila de Prado,50.80
Vila Verde e Barbudo,53.58
Ave,51.56
Cabeceiras de Basto,44.77
Abadim,49.07
Basto,51.92
Bucos,39.19
Cabeceiras de Basto,40.18
Cavez,34.01
Faia,44.26
Pedraça,40.42
Rio Douro,35.47
União das freguesias de Alvite e Passos,48
União das freguesias de Arco de Baúlhe e Vila Nune,41.59
União das freguesias de Gondiães e Vilar de Cunhas,33.84
"União das freguesias de Refojos de Basto, Outeiro e Painzela",49.15
Fafe,47.78
Armil,51.38
Arões (Santa Cristina),54.97
Arões (São Romão),51.36
Estorãos,46.15
Fafe,50.04
Fornelos,46.96
Golães,47.73
Medelo,48.95
Paços,48.25
Quinchães,48.46
Regadas,44.06
Revelhe,51.09
Ribeiros,46.36
São Gens,45.17
Silvares (São Martinho),45.27
Travassós,44.15
"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",38.20
União de freguesias de Agrela e Serafão,43.33
União de freguesias de Antime e Silvares (São Clemente),45.75
"União de freguesias de Ardegão, Arnozela e Seidões",44.72
União de freguesias de Cepães e Fareja,51.07
União de freguesias de Freitas e Vila Cova,36.69
União de freguesias de Monte e Queimadela,35.10
União de freguesias de Moreira do Rei e Várzea Cova,40.44
Vinhós,47.76
Guimarães,53.12
Aldão,60.51
Azurém,51.95
Barco,55.51
Brito,57.43
