Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
União das freguesias de Palmeira de Faro e Curvos,41.53
Vila Chã,33.05
Terras de Bouro,30.74
Balança,33.95
Campo do Gerês,49.26
Carvalheira,29.78
Covide,23.29
Gondoriz,25.60
Moimenta,40
Ribeira,27.78
Rio Caldo,29.39
Souto,35.73
União das freguesias de Chamoim e Vilar,27.53
União das freguesias de Chorense e Monte,25.71
União das freguesias de Cibões e Brufe,14.55
Valdosende,32.77
Vilar da Veiga,30.85
Vila Verde,36.86
Aboim da Nóbrega e Gondomar,24.91
Atiães,24.03
Cabanelas,30.15
Cervães,32.51
Coucieiro,35.86
Dossãos,30.39
Freiriz,30.65
Gême,40.51
Lage,46.93
Lanhas,33.45
Loureira,42.78
Moure,35.42
Oleiros,35.79
Parada de Gatim,25.97
Pico,29.19
Ponte,33.60
Prado (São Miguel),30.58
Sabariz,41.32
Soutelo,44.25
Turiz,43.90
União das freguesias da Ribeira do Neiva,27.30
União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),27.80
União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),27.55
"União das freguesias de Esqueiros, Nevogilde e Travassós",33.59
União das freguesias de Marrancos e Arcozelo,33.19
União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),25.39
"União das freguesias de Pico de Regalados, Gondiães e Mós",40.09
"União das freguesias de Sande, Vilarinho, Barros e Gomide",27.33
"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",24.11
União das freguesias do Vade,30.45
Valdreu,16.92
Vila de Prado,43.27
Vila Verde e Barbudo,46.85
Ave,37.10
Cabeceiras de Basto,33.32
Abadim,33.89
Basto,34.83
Bucos,28.33
Cabeceiras de Basto,24.58
Cavez,20.40
Faia,25.21
Pedraça,26.07
Rio Douro,26.17
União das freguesias de Alvite e Passos,33.41
União das freguesias de Arco de Baúlhe e Vila Nune,33.58
União das freguesias de Gondiães e Vilar de Cunhas,18.50
"União das freguesias de Refojos de Basto, Outeiro e Painzela",40
Fafe,33.04
Armil,27.59
Arões (Santa Cristina),28.59
Arões (São Romão),30.63
Estorãos,25.28
Fafe,43.77
Fornelos,29.45
Golães,29.70
Medelo,35.36
Paços,24.97
Quinchães,29.52
Regadas,26.46
Revelhe,31.61
Ribeiros,29.89
São Gens,27.56
Silvares (São Martinho),29.52
Travassós,25.60
"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",21.87
União de freguesias de Agrela e Serafão,28.17
União de freguesias de Antime e Silvares (São Clemente),33.35
"União de freguesias de Ardegão, Arnozela e Seidões",23.85
União de freguesias de Cepães e Fareja,28.12
União de freguesias de Freitas e Vila Cova,19.85
União de freguesias de Monte e Queimadela,18.57
União de freguesias de Moreira do Rei e Várzea Cova,23.89
Vinhós,26.41
Guimarães,38
Aldão,46.23
Azurém,49.59
Barco,33.53
Brito,35.18
Caldelas,43.61
Candoso (São Martinho),32.54
Costa,62.44
Creixomil,50.15
Fermentões,44.26
Gonça,28.61
Gondar,32.01
Guardizela,30.37
Infantas,26.86
Longos,28.02
Lordelo,30.35
Mesão Frio,40.29
Moreira de Cónegos,29.33
Nespereira,31.97
Pencelo,33.59
Pinheiro,32.86
Polvoreira,27.75
Ponte,38.45
Prazins (Santa Eufémia),34.86
Ronfe,34.58
Sande (São Martinho),32.78
São Torcato,30.49
Selho (São Cristóvão),29.40
Selho (São Jorge),37.56
Serzedelo,28.98
Silvares,36.92
União das freguesias de Abação e Gémeos,29.10
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",30.94
União das freguesias de Arosa e Castelões,25.54
União das freguesias de Atães e Rendufe,29.58
União das freguesias de Briteiros Santo Estêvão e Donim,32.46
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,27.82
União das freguesias de Candoso São Tiago e Mascotelos,46.14
União das freguesias de Conde e Gandarela,29.85
"União das freguesias de Leitões, Oleiros e Figueiredo",31.27
"União das freguesias de Oliveira, São Paio e São Sebastião",49.77
União das freguesias de Prazins Santo Tirso e Corvite,38.62
União das freguesias de Sande São Lourenço e Balazar,32.90
União das freguesias de Sande Vila Nova e Sande São Clemente,32.64
União das freguesias de Selho São Lourenço e Gominhães,31.74
União das freguesias de Serzedo e Calvos,24.76
"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",26.68
União das freguesias de Tabuadelo e São Faustino,27.46
Urgezes,44.97
Mondim de Basto,28.70
Atei,25.88
Bilhó,23.77
