Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
União das freguesias de Agualva e Mira-Sintra,48.10
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",40.14
União das freguesias de Massamá e Monte Abraão,60.04
União das freguesias de Queluz e Belas,54.21
União das freguesias de São João das Lampas e Terrugem,47.45
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",59.62
União das freguesias do Cacém e São Marcos,55.20
Vila Franca de Xira,52.81
"União das freguesias de Alhandra, São João dos Montes e Calhandriz",47.74
União das freguesias de Alverca do Ribatejo e Sobralinho,54.59
União das freguesias de Castanheira do Ribatejo e Cachoeiras,46.21
União das freguesias de Póvoa de Santa Iria e Forte da Casa,56.29
Vialonga,49.45
Vila Franca de Xira,51.70
Alentejo,39.83
Alentejo Litoral,39.13
Alcácer do Sal,31.82
Comporta,26.84
São Martinho,14.42
Torrão,28.88
União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,34.11
Grândola,36.67
Azinheira dos Barros e São Mamede do Sádão,17.02
Carvalhal,32.27
Melides,32.89
União das freguesias de Grândola e Santa Margarida da Serra,39.02
Odemira,37.55
Boavista dos Pinheiros,39.96
Colos,26.46
Longueira/Almograve,41.26
Luzianes-Gare,31.02
Relíquias,34.55
Sabóia,24.91
Santa Clara-a-Velha,28.13
São Luís,31.23
São Martinho das Amoreiras,36
São Salvador e Santa Maria,42.62
São Teotónio,36.69
Vale de Santiago,20.45
Vila Nova de Milfontes,44.59
Santiago do Cacém,42.46
Abela,26.45
Alvalade,27.11
Cercal,28.34
Ermidas-Sado,30.06
Santo André,52.74
São Francisco da Serra,31.52
"União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra",47.22
União das freguesias de São Domingos e Vale de Água,24.26
Sines,44.32
Porto Covo,42.57
Sines,44.47
Baixo Alentejo,37.58
Aljustrel,33.47
Ervidel,27.48
Messejana,23.10
São João de Negrilhos,28.98
União das freguesias de Aljustrel e Rio de Moinhos,37.07
Almodôvar,31.89
Aldeia dos Fernandes,28.41
Rosário,28.06
Santa Cruz,17.90
São Barnabé,7.61
União das freguesias de Almodôvar e Graça dos Padrões,39.66
União das freguesias de Santa Clara-a-Nova e Gomes Aires,21.21
Alvito,34.70
Alvito,36.34
Vila Nova da Baronia,32.97
Barrancos,37.25
Barrancos,37.25
Beja,47.79
Baleizão,22.70
Beringel,36.29
Cabeça Gorda,27.98
Nossa Senhora das Neves,37.20
Santa Clara de Louredo,31.96
São Matias,36.47
União das freguesias de Albernoa e Trindade,22.52
União das freguesias de Beja (Salvador e Santa Maria da Feira),51.78
União das freguesias de Beja (Santiago Maior e São João Baptista),56.92
União das freguesias de Salvada e Quintos,29.04
União das freguesias de Santa Vitória e Mombeja,27.22
União das freguesias de Trigaches e São Brissos,32.59
Castro Verde,39.48
Entradas,25.63
Santa Bárbara de Padrões,23.11
São Marcos da Ataboeira,22.59
União das freguesias de Castro Verde e Casével,44.46
Cuba,37.68
Cuba,43.31
Faro do Alentejo,29.76
Vila Alva,20.60
Vila Ruiva,23.12
Ferreira do Alentejo,32.35
Figueira dos Cavaleiros,24.61
Odivelas,23.88
União das freguesias de Alfundão e Peroguarda,31.88
União das freguesias de Ferreira do Alentejo e Canhestros,35.37
Mértola,29.02
Alcaria Ruiva,26.18
Corte do Pinto,20.55
Espírito Santo,20.91
Mértola,38.82
Santana de Cambas,23.66
São João dos Caldeireiros,28.32
"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",18.42
Moura,32.78
Amareleja,27.92
Póvoa de São Miguel,22.61
Sobral da Adiça,23.10
União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,38.44
União das freguesias de Safara e Santo Aleixo da Restauração,21.62
Ourique,31.62
Ourique,38.31
Santana da Serra,17.27
União das freguesias de Garvão e Santa Luzia,27.18
União das freguesias de Panoias e Conceição,23.33
Serpa,33.07
Brinches,21.26
Pias,29.29
União das freguesias de Serpa (Salvador e Santa Maria),42.02
União das freguesias de Vila Nova de São Bento e Vale de Vargo,27.19
Vila Verde de Ficalho,26.98
Vidigueira,35.13
Pedrógão,20.84
Selmes,27.09
Vidigueira,42.95
Vila de Frades,35.09
Lezíria do Tejo,40.87
Almeirim,39.46
Almeirim,46.61
Benfica do Ribatejo,28.03
Fazendas de Almeirim,32.05
Raposa,26.53
Alpiarça,37.54
Alpiarça,37.54
Azambuja,40.53
Alcoentre,31.38
Aveiras de Baixo,38.30
Aveiras de Cima,34.94
Azambuja,49.78
"União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa",33.71
Vale do Paraíso,36.90
Vila Nova da Rainha,44.11
Benavente,44.38
Barrosa,30.67
Benavente,43.86
Samora Correia,44.63
Santo Estêvão,49.30
Cartaxo,42.91
Pontével,35.25
União das freguesias de Ereira e Lapa,35.23
União das freguesias do Cartaxo e Vale da Pinta,49.12
Valada,29.15
Vale da Pedra,36.45
Vila Chã de Ourique,39.93
Chamusca,28.88
Carregueira,28.51
Ulme,20.14
União das freguesias da Chamusca e Pinheiro Grande,37.01
União das freguesias de Parreira e Chouto,18.77
Vale de Cavalos,19.73
Coruche,30.54
Biscainho,27.02
Branca,27.28
Couço,20.14
Santana do Mato,23.15
São José da Lamarosa,20.17
"União das freguesias de Coruche, Fajarda e Erra",35.84
Golegã,40.13
Azinhaga,34.43
Golegã,43.42
Pombalinho,31.47
Rio Maior,39.89
Alcobertas,29.65
Arrouquelas,35.52
Asseiceira,41.60
Fráguas,23.62
Rio Maior,44.47
São Sebastião,29.48
União das freguesias de Azambujeira e Malaqueijo,29.59
União das freguesias de Marmeleira e Assentiz,41.44
União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões,30.59
União das freguesias de São João da Ribeira e Ribeira de São João,37.23
Salvaterra de Magos,35.90
Marinhais,37.73
Muge,28.44
União das freguesias de Glória do Ribatejo e Granho,29.86
União das freguesias de Salvaterra de Magos e Foros de Salvaterra,37.92
Santarém,46.62
Abitureiras,37.18
Abrã,30.97
Alcanede,27.83
Alcanhões,38.02
Almoster,35.27
Amiais de Baixo,37.30
Arneiro das Milhariças,30.22
Gançaria,30
Moçarria,37.32
Pernes,29.65
Póvoa da Isenta,42.69
"União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém",38.89
União das freguesias de Azoia de Cima e Tremês,31.20
União das freguesias de Casével e Vaqueiros,33.70
União das freguesias de Romeira e Várzea,42.59
União de freguesias da cidade de Santarém,58.07
União das freguesias de São Vicente do Paul e Vale de Figueira,31.94
Vale de Santarém,41.66
Alto Alentejo,37.50
Alter do Chão,31.09
Alter do Chão,36.63
Chancelaria,21.43
Cunheira,15.81
Seda,23.42
Arronches,32.49
Assunção,36.83
Esperança,23.46
Mosteiros,25.78
Avis,31.70
Aldeia Velha,27.36
Avis,35.30
Ervedal,35.70
Figueira e Barros,21.26
União das freguesias de Alcórrego e Maranhão,27.71
União das freguesias de Benavila e Valongo,28.85
Campo Maior,39.72
Nossa Senhora da Expectação,41.74
Nossa Senhora da Graça dos Degolados,27.53
São João Baptista,39.86
Castelo de Vide,37.37
Nossa Senhora da Graça de Póvoa e Meadas,28.51
Santa Maria da Devesa,42.35
Santiago Maior,35.14
São João Baptista,35.87
Crato,28.31
Aldeia da Mata,17.13
Gáfete,18.88
Monte da Pedra,18
"União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso",34.81
Elvas,42.66
"Assunção, Ajuda, Salvador e Santo Ildefonso",51.76
"Caia, São Pedro e Alcáçova",36.01
Santa Eulália,22.76
São Brás e São Lourenço,46.18
São Vicente e Ventosa,36.62
União das freguesias de Barbacena e Vila Fernando,28.65
União das freguesias de Terrugem e Vila Boim,35.90
Fronteira,34.05
Cabeço de Vide,28.36
Fronteira,37.73
São Saturnino,29.81
Gavião,24.89
Belver,19.08
Comenda,20.87
Margem,17.99
União das freguesias de Gavião e Atalaia,32.08
Marvão,30.47
Beirã,30.03
Santa Maria de Marvão,28.93
Santo António das Areias,27.94
São Salvador da Aramenha,33.15
Monforte,29.17
Assumar,22.31
Monforte,33.49
Santo Aleixo,20.51
Vaiamonte,34.83
Nisa,30.36
Alpalhão,30.77
Montalvão,16.61
Santana,8
São Matias,22.63
Tolosa,23.43
União das freguesias de Arez e Amieira do Tejo,19.84
"União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão",37.98
Ponte de Sor,34.57
Foros de Arrão,20.25
Galveias,24.97
Longomel,24.15
Montargil,26.14
"União das freguesias de Ponte de Sor, Tramaga e Vale de Açor",39.37
Portalegre,45.70
Alagoa,26.93
Alegrete,23.42
Fortios,46.54
União das freguesias da Sé e São Lourenço,51.46
União das freguesias de Reguengo e São Julião,30.53
União das freguesias de Ribeira de Nisa e Carreiras,43.75
Urra,32.70
Sousel,32
Cano,27.63
Casa Branca,25.40
Santo Amaro,32.13
Sousel,38.53
Alentejo Central,41.96
Alandroal,27.87
Capelins (Santo António),22.10
Santiago Maior,24.53
Terena (São Pedro),28.10
"União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)",32.08
Arraiolos,37.37
Arraiolos,44.55
Igrejinha,41.86
União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro,24.81
União das freguesias de São Gregório e Santa Justa,27.92
Vimieiro,28.51
Borba,33.53
Borba (Matriz),36.64
Borba (São Bartolomeu),27.46
Orada,27.66
Rio de Moinhos,31.80
Estremoz,39.77
Arcos,34.45
Évora Monte (Santa Maria),30.31
Glória,33.99
São Domingos de Ana Loura,28.22
União das freguesias de Estremoz (Santa Maria e Santo André),44.48
União das freguesias de São Bento do Cortiço e Santo Estêvão,32.06
União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura,35.26
União das freguesias do Ameixial (Santa Vitória e São Bento),36.35
Veiros,27.77
Évora,53.19
Canaviais,55.53
Nossa Senhora da Graça do Divor,42.30
Nossa Senhora de Machede,34.54
São Bento do Mato,32.95
São Miguel de Machede,37.16
Torre de Coelheiros,25.16
União das freguesias de Bacelo e Senhora da Saúde,56.38
"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",59.35
União das freguesias de Malagueira e Horta das Figueiras,55.36
União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,37.11
União das freguesias de São Manços e São Vicente do Pigeiro,30.43
União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé,28.45
Montemor-o-Novo,37.28
Cabrela,23.49
Ciborro,23.81
Foros de Vale de Figueira,32.41
Santiago do Escoural,24.28
São Cristóvão,27.19
União das freguesias de Cortiçadas de Lavre e Lavre,26.82
"União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",42.43
Mora,27.97
Brotas,20.92
Cabeção,23.67
Mora,30.96
Pavia,27.62
Mourão,30.08
Granja,21.70
Luz,33.97
Mourão,32.26
Portel,32.29
Monte do Trigo,33.33
Portel,37.70
Santana,25.72
União das freguesias de Amieira e Alqueva,22.04
União das freguesias de São Bartolomeu do Outeiro e Oriola,29.64
Vera Cruz,24.53
Redondo,34.02
Montoito,28.41
Redondo,35.12
Reguengos de Monsaraz,37.06
Corval,31.33
Monsaraz,25.55
Reguengos de Monsaraz,42.61
União das freguesias de Campo e Campinho,19.12
Vendas Novas,38.93
Landeira,30.55
Vendas Novas,39.43
Viana do Alentejo,36.36
Aguiar,39.97
Alcáçovas,35.82
Viana do Alentejo,35.56
Vila Viçosa,38.58
Bencatel,33.52
Ciladas,21.01
Nossa Senhora da Conceição e São Bartolomeu,44.50
Pardais,28.61
Algarve,46
Algarve,46
Albufeira,47.75
Albufeira e Olhos de Água,49.33
Ferreiras,45.89
Guia,47.05
Paderne,39.71
Alcoutim,26.15
Giões,21.99
Martim Longo,25.80
União das freguesias de Alcoutim e Pereiro,31.05
Vaqueiros,12.86
Aljezur,42.65
Aljezur,47.03
Bordeira,37.04
Odeceixe,39.20
Rogil,34.66
Castro Marim,36.04
Altura,43.65
Azinhal,25.34
Castro Marim,36.60
Odeleite,15.92
Faro,54.44
Montenegro,64.37
Santa Bárbara de Nexe,42.18
União das freguesias de Conceição e Estoi,39.95
União das freguesias de Faro (Sé e São Pedro),56.48
Lagoa,43.02
Ferragudo,39.30
Porches,42.20
União das freguesias de Estômbar e Parchal,41.28
União das freguesias de Lagoa e Carvoeiro,45.54
Lagos,46.90
Luz,47.22
Odiáxere,39.62
União das freguesias de Bensafrim e Barão de São João,39.13
São Gonçalo de Lagos,48.59
Loulé,45.32
Almancil,42.55
Alte,26.43
Ameixial,16.48
Boliqueime,41.61
Loulé (São Clemente),50.24
Loulé (São Sebastião),44.89
Quarteira,49.02
Salir,29.91
"União de freguesias de Querença, Tôr e Benafim",30.93
Monchique,33.73
Alferce,35.39
Marmelete,28.21
Monchique,34.48
Olhão,43.22
Olhão,41.94
Pechão,46.72
Quelfes,46.07
União das freguesias de Moncarapacho e Fuseta,38.80
Portimão,49.06
Alvor,49.75
Mexilhoeira Grande,38.34
Portimão,49.93
São Brás de Alportel,46.36
São Brás de Alportel,46.36
Silves,41
Armação de Pêra,48.32
São Bartolomeu de Messines,35.06
São Marcos da Serra,22.01
Silves,42.19
União das freguesias de Alcantarilha e Pêra,42.23
União das freguesias de Algoz e Tunes,42.41
Tavira,43.16
Cachopo,10.51
Santa Catarina da Fonte do Bispo,33.39
Santa Luzia,40.74
União das freguesias de Conceição e Cabanas de Tavira,44.59
União das freguesias de Luz de Tavira e Santo Estêvão,35.63
União das freguesias de Tavira (Santa Maria e Santiago),47.91
Vila do Bispo,41.96
Barão de São Miguel,53.46
Budens,45.46
Sagres,35.80
Vila do Bispo e Raposeira,41.42
Vila Real de Santo António,39.81
Monte Gordo,31.42
Vila Nova de Cacela,41.12
Vila Real de Santo António,41.70
Região Autónoma dos Açores,37.78
Região Autónoma dos Açores,37.78
Região Autónoma dos Açores,37.78
Angra do Heroísmo,39.70
Altares,29.34
Angra (Nossa Senhora da Conceição),40.80
Angra (Santa Luzia),42.12
Angra (São Pedro),57.62
Angra (Sé),56.21
Cinco Ribeiras,32.29
Doze Ribeiras,27.42
Feteira,46.70
Porto Judeu,31.86
Posto Santo,40.78
Raminho,28.28
Ribeirinha,34.18
Santa Bárbara,27.81
São Bartolomeu de Regatos,42.51
São Bento,41.42
São Mateus da Calheta,38.57
Serreta,27.52
Terra Chã,36.14
Vila de São Sebastião,32.20
Calheta,27.69
Calheta,36.74
Norte Pequeno,25.57
Ribeira Seca,23.06
Santo Antão,18.38
Topo (Nossa Senhora do Rosário),25.27
Corvo,34.89
Corvo,34.89
Horta,41.73
Capelo,44.22
Castelo Branco,33.01
Cedros,29.14
Feteira,40.49
Flamengos,35.09
Horta (Angústias),45.74
Horta (Conceição),43.31
Horta (Matriz),52.52
Pedro Miguel,36.66
Praia do Almoxarife,47.82
Praia do Norte,41.78
Ribeirinha,32.11
Salão,32.69
Lagoa,33.35
Água de Pau,23.97
Cabouco,34.94
Lagoa (Nossa Senhora do Rosário),40.81
Lagoa (Santa Cruz),28.69
Ribeira Chã,32.34
Lajes das Flores,31.96
Fajã Grande,36.36
Fajãzinha,24.62
Fazenda,35.75
Lajedo,19.70
Lajes das Flores,28.48
Lomba,41.67
Mosteiro,15.79
Lajes do Pico,32.84
Calheta de Nesquim,25.36
Lajes do Pico,38.39
Piedade,28.59
Ribeiras,29.78
Ribeirinha,27.02
São João,34.56
Madalena,37.06
Bandeiras,33.39
Candelária,36.27
Criação Velha,38.43
Madalena,39.58
São Caetano,28.73
São Mateus,34.62
Nordeste,27.83
Achada,24.24
Achadinha,24.37
Algarvia,21.53
Lomba da Fazenda,29.98
Nordeste,31.48
Salga,21.96
Santana,27.63
Santo António de Nordestinho,33.95
São Pedro de Nordestinho,27.59
Ponta Delgada,44.91
Ajuda da Bretanha,28.54
Arrifes,34.10
Candelária,31
Capelas,38.77
Covoada,30.23
Fajã de Baixo,55.40
Fajã de Cima,36.92
Fenais da Luz,41.10
Feteiras,25.61
Ginetes,27.61
Mosteiros,23.73
Pilar da Bretanha,27.66
Ponta Delgada (São José),57.30
Ponta Delgada (São Pedro),58.98
Ponta Delgada (São Sebastião),60.52
Relva,47.87
Remédios,29.22
Rosto do Cão (Livramento),47.82
Rosto do Cão (São Roque),42.01
Santa Bárbara,25.81
Santa Clara,50.90
Santo António,26.67
São Vicente Ferreira,48.56
Sete Cidades,20.91
Povoação,29.79
Água Retorta,23.08
Faial da Terra,18.98
Furnas,32.64
Nossa Senhora dos Remédios,34.71
Povoação,31.28
Ribeira Quente,21.85
Ribeira Grande,31.95
Calhetas,41.87
Fenais da Ajuda,17.14
Lomba da Maia,26.53
Lomba de São Pedro,19.53
Maia,30.01
Pico da Pedra,48.50
Porto Formoso,25.14
Rabo de Peixe,23.44
Ribeira Grande (Conceição),47.35
Ribeira Grande (Matriz),36.10
Ribeira Seca,32.43
Ribeirinha,26.65
Santa Bárbara,29.92
São Brás,31.93
Santa Cruz da Graciosa,29.80
Guadalupe,25.33
Luz,21.04
Santa Cruz da Graciosa,37.80
São Mateus,24.59
Santa Cruz das Flores,32.78
Caveira,27.59
Cedros,24.74
Ponta Delgada,21.37
Santa Cruz das Flores,35.66
São Roque do Pico,37.05
Prainha,29.89
Santa Luzia,33.05
Santo Amaro,32.60
Santo António,38.55
São Roque do Pico,41.38
Velas,33.62
Manadas (Santa Bárbara),29.33
Norte Grande (Neves),24.01
Rosais,27.26
Santo Amaro,33.08
Urzelina (São Mateus),39.47
Velas (São Jorge),36.82
Vila da Praia da Vitória,34.69
Agualva,26.64
Biscoitos,35.30
Cabo da Praia,39.97
Fonte do Bastardo,35.12
Fontinhas,34.52
Lajes,33.45
Porto Martins,53.31
Praia da Vitória (Santa Cruz),35.10
Quatro Ribeiras,28.68
São Brás,32.11
Vila Nova,28.34
Vila do Porto,38.28
Almagreira,37.78
Santa Bárbara,29.26
Santo Espírito,32.55
São Pedro,31.99
Vila do Porto,42.29
Vila Franca do Campo,29.76
Água de Alto,26.26
Ponta Garça,23.22
Ribeira das Tainhas,31.73
Ribeira Seca,33
Vila Franca do Campo (São Miguel),32.16
Vila Franca do Campo (São Pedro),41.58
Região Autónoma da Madeira,41.38
Região Autónoma da Madeira,41.38
Região Autónoma da Madeira,41.38
Calheta,33.01
Arco da Calheta,35.81
Calheta,38.37
Estreito da Calheta,31.35
Fajã da Ovelha,23.28
Jardim do Mar,39.59
Paul do Mar,26.55
Ponta do Pargo,23.03
Prazeres,27.84
Câmara de Lobos,31.13
Câmara de Lobos,33.93
Curral das Freiras,19.99
Estreito de Câmara de Lobos,30.65
Jardim da Serra,25.15
Quinta Grande,28.54
Funchal,47.15
Funchal (Santa Luzia),54.79
Funchal (Santa Maria Maior),47.36
Funchal (São Pedro),50.95
Funchal (Sé),59.69
Imaculado Coração de Maria,47.97
Monte,37.32
Santo António,42.18
São Gonçalo,38.34
São Martinho,53.84
São Roque,40.73
Machico,33.52
Água de Pena,41.79
Caniçal,26.66
Machico,34.61
Porto da Cruz,33.37
Santo António da Serra,28.40
Ponta do Sol,33.07
Canhas,29.36
Madalena do Mar,36.73
Ponta do Sol,35.72
Porto Moniz,28.19
Achadas da Cruz,19.83
Porto Moniz,26.99
Ribeira da Janela,21.08
Seixal,35.69
Porto Santo,40.60
Porto Santo,40.60
Ribeira Brava,34.03
Campanário,32.73
Ribeira Brava,36.23
Serra de Água,24.03
Tabua,35.65
Santa Cruz,48.37
Camacha,32.10
Caniço,55.53
Gaula,46.37
Santa Cruz,42.51
Santo António da Serra,34.33
Santana,29.98
Arco de São Jorge,25.79
Faial,27.85
Ilha,19.21
Santana,33.35
São Jorge,29.19
São Roque do Faial,27.23
São Vicente,29.74
Boa Ventura,20.43
Ponta Delgada,32.45
São Vicente,32.33
,
,
,
,
,
